datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:35,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:36,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:37,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:38,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:39,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:40,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:41,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:42,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:43,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:44,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:45,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:46,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:47,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:48,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:49,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:50,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:51,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:52,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:53,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:54,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:55,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:56,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:57,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:58,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:30:59,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:31:00,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:31:01,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:31:02,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:31:03,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:31:04,57.36,57.36,57.2,57.35,12,7,57.287
2020-03-30 09:31:05,57.36,57.37,57.26,57.36,19,15,57.335
2020-03-30 09:31:06,57.36,57.36,57.27,57.31,22,15,57.321
2020-03-30 09:31:07,57.3,57.3,57.3,57.3,2,2,57.3
2020-03-30 09:31:08,57.37,57.49,57.37,57.49,15,14,57.394
2020-03-30 09:31:09,57.38,57.38,57.38,57.38,2,2,57.38
2020-03-30 09:31:10,57.38,57.53,57.38,57.53,2,2,57.455
2020-03-30 09:31:11,57.41,57.43,57.33,57.43,12,5,57.353
2020-03-30 09:31:12,57.32,57.32,57.32,57.32,2,1,57.32
2020-03-30 09:31:13,57.38,57.38,57.35,57.36,6,2,57.365
2020-03-30 09:31:14,57.33,57.38,57.33,57.35,11,8,57.348
2020-03-30 09:31:15,57.38,57.38,57.38,57.38,2,1,57.38
2020-03-30 09:31:16,57.33,57.38,57.33,57.38,3,2,57.363
2020-03-30 09:31:17,57.37,57.38,57.32,57.32,5,4,57.366
2020-03-30 09:31:18,57.32,57.32,57.32,57.32,0,0,57.32
2020-03-30 09:31:19,57.32,57.32,57.32,57.32,0,0,57.32
2020-03-30 09:31:20,57.32,57.35,57.31,57.35,9,5,57.33
2020-03-30 09:31:21,57.26,57.26,57.26,57.26,4,4,57.26
2020-03-30 09:31:22,57.26,57.26,57.26,57.26,0,0,57.26
2020-03-30 09:31:23,57.26,57.26,57.26,57.26,0,0,57.26
2020-03-30 09:31:24,57.26,57.26,57.25,57.26,5,1,57.256
2020-03-30 09:31:25,57.26,57.26,57.25,57.26,0,0,57.26
2020-03-30 09:31:26,57.25,57.28,57.15,57.16,23,17,57.193
2020-03-30 09:31:27,57.16,57.16,57.15,57.16,0,0,57.16
2020-03-30 09:31:28,57.16,57.16,57.15,57.16,0,0,57.16
2020-03-30 09:31:29,57.16,57.16,57.15,57.16,0,0,57.16
2020-03-30 09:31:30,57.13,57.28,57.13,57.28,19,17,57.195
2020-03-30 09:31:31,57.28,57.28,57.28,57.28,0,0,57.28
2020-03-30 09:31:32,57.28,57.28,57.28,57.28,0,0,57.28
2020-03-30 09:31:33,57.2,57.21,57.2,57.2,3,3,57.2
2020-03-30 09:31:34,57.2,57.2,57.2,57.2,0,0,57.2
2020-03-30 09:31:35,57.2,57.2,57.2,57.2,0,0,57.2
2020-03-30 09:31:36,57.2,57.2,57.19,57.2,7,7,57.197
2020-03-30 09:31:37,57.2,57.2,57.2,57.2,0,0,57.2
2020-03-30 09:31:38,57.2,57.2,57.2,57.2,0,0,57.2
2020-03-30 09:31:39,57.2,57.2,57.2,57.2,0,0,57.2
2020-03-30 09:31:40,57.16,57.22,57.16,57.22,6,6,57.188
2020-03-30 09:31:41,57.22,57.22,57.22,57.22,0,0,57.22
2020-03-30 09:31:42,57.22,57.22,57.22,57.22,0,0,57.22
2020-03-30 09:31:43,57.22,57.22,57.22,57.22,0,0,57.22
2020-03-30 09:31:44,57.22,57.22,57.22,57.22,0,0,57.22
2020-03-30 09:31:45,57.16,57.16,57.16,57.16,4,1,57.16
2020-03-30 09:31:46,57.16,57.16,57.16,57.16,0,0,57.16
2020-03-30 09:31:47,57.16,57.16,57.16,57.16,0,0,57.16
2020-03-30 09:31:48,57.16,57.16,57.16,57.16,0,0,57.16
2020-03-30 09:31:49,57.16,57.16,57.16,57.16,0,0,57.16
2020-03-30 09:31:50,57.16,57.23,57.16,57.23,4,3,57.195
2020-03-30 09:31:51,57.23,57.23,57.23,57.23,0,0,57.23
2020-03-30 09:31:52,57.32,57.32,57.29,57.32,6,4,57.309
2020-03-30 09:31:53,57.32,57.32,57.32,57.32,0,0,57.32
2020-03-30 09:31:54,57.32,57.32,57.32,57.32,0,0,57.32
2020-03-30 09:31:55,57.32,57.32,57.32,57.32,0,0,57.32
2020-03-30 09:31:56,57.34,57.34,57.33,57.34,9,1,57.336
2020-03-30 09:31:57,57.34,57.34,57.33,57.34,0,0,57.34
2020-03-30 09:31:58,57.26,57.26,57.24,57.24,12,11,57.257
2020-03-30 09:31:59,57.23,57.26,57.23,57.26,2,2,57.245
2020-03-30 09:32:00,57.26,57.26,57.26,57.26,0,0,57.26
2020-03-30 09:32:01,57.26,57.26,57.26,57.26,0,0,57.26
2020-03-30 09:32:02,57.26,57.26,57.26,57.26,0,0,57.26
2020-03-30 09:32:03,57.26,57.26,57.26,57.26,0,0,57.26
2020-03-30 09:32:04,57.26,57.26,57.26,57.26,0,0,57.26
2020-03-30 09:32:05,57.26,57.26,57.26,57.26,0,0,57.26
2020-03-30 09:32:06,57.21,57.21,57.21,57.21,2,2,57.21
2020-03-30 09:32:07,57.21,57.21,57.21,57.21,0,0,57.21
2020-03-30 09:32:08,57.21,57.22,57.21,57.22,4,3,57.212
2020-03-30 09:32:09,57.22,57.22,57.22,57.22,0,0,57.22
2020-03-30 09:32:10,57.22,57.22,57.22,57.22,0,0,57.22
2020-03-30 09:32:11,57.22,57.22,57.22,57.22,0,0,57.22
2020-03-30 09:32:12,57.22,57.22,57.22,57.22,0,0,57.22
2020-03-30 09:32:13,57.22,57.22,57.22,57.22,0,0,57.22
2020-03-30 09:32:14,57.22,57.22,57.22,57.22,0,0,57.22
2020-03-30 09:32:15,57.22,57.22,57.22,57.22,0,0,57.22
2020-03-30 09:32:16,57.22,57.22,57.22,57.22,0,0,57.22
2020-03-30 09:32:17,57.22,57.22,57.22,57.22,0,0,57.22
2020-03-30 09:32:18,57.22,57.22,57.22,57.22,0,0,57.22
2020-03-30 09:32:19,57.22,57.22,57.22,57.22,0,0,57.22
2020-03-30 09:32:20,57.19,57.24,57.16,57.24,9,7,57.199
2020-03-30 09:32:21,57.23,57.32,57.21,57.32,10,10,57.262
2020-03-30 09:32:22,57.3,57.31,57.3,57.31,4,3,57.307
2020-03-30 09:32:23,57.31,57.31,57.31,57.31,0,0,57.31
2020-03-30 09:32:24,57.31,57.31,57.31,57.31,0,0,57.31
2020-03-30 09:32:25,57.33,57.33,57.33,57.33,2,2,57.33
2020-03-30 09:32:26,57.33,57.33,57.33,57.33,0,0,57.33
2020-03-30 09:32:27,57.33,57.33,57.33,57.33,0,0,57.33
2020-03-30 09:32:28,57.33,57.33,57.33,57.33,0,0,57.33
2020-03-30 09:32:29,57.3,57.3,57.29,57.3,2,1,57.298
2020-03-30 09:32:30,57.3,57.3,57.29,57.3,0,0,57.3
2020-03-30 09:32:31,57.3,57.3,57.29,57.3,0,0,57.3
2020-03-30 09:32:32,57.3,57.3,57.29,57.3,0,0,57.3
2020-03-30 09:32:33,57.3,57.3,57.29,57.3,0,0,57.3
2020-03-30 09:32:34,57.3,57.3,57.29,57.3,0,0,57.3
2020-03-30 09:32:35,57.3,57.3,57.29,57.3,0,0,57.3
2020-03-30 09:32:36,57.26,57.26,57.26,57.26,2,2,57.26
2020-03-30 09:32:37,57.26,57.26,57.26,57.26,0,0,57.26
2020-03-30 09:32:38,57.26,57.26,57.26,57.26,0,0,57.26
2020-03-30 09:32:39,57.26,57.26,57.26,57.26,0,0,57.26
2020-03-30 09:32:40,57.25,57.25,57.25,57.25,1,1,57.25
2020-03-30 09:32:41,57.25,57.25,57.25,57.25,0,0,57.25
2020-03-30 09:32:42,57.25,57.25,57.25,57.25,0,0,57.25
2020-03-30 09:32:43,57.17,57.19,57.17,57.19,3,3,57.176
2020-03-30 09:32:44,57.19,57.19,57.19,57.19,0,0,57.19
2020-03-30 09:32:45,57.19,57.19,57.19,57.19,0,0,57.19
2020-03-30 09:32:46,57.19,57.19,57.18,57.19,2,2,57.185
2020-03-30 09:32:47,57.19,57.19,57.18,57.19,0,0,57.19
2020-03-30 09:32:48,57.19,57.19,57.18,57.19,0,0,57.19
2020-03-30 09:32:49,57.2,57.2,57.19,57.2,2,2,57.195
2020-03-30 09:32:50,57.2,57.2,57.19,57.2,0,0,57.2
2020-03-30 09:32:51,57.2,57.2,57.19,57.2,0,0,57.2
2020-03-30 09:32:52,57.2,57.2,57.19,57.2,0,0,57.2
2020-03-30 09:32:53,57.15,57.19,57.09,57.13,12,11,57.128
2020-03-30 09:32:54,57.13,57.13,57.12,57.13,0,0,57.13
2020-03-30 09:32:55,57.13,57.13,57.12,57.13,0,0,57.13
2020-03-30 09:32:56,57.13,57.13,57.12,57.13,0,0,57.13
2020-03-30 09:32:57,57.13,57.13,57.12,57.13,0,0,57.13
2020-03-30 09:32:58,57.13,57.13,57.12,57.13,0,0,57.13
